"","x"
"1829",126414.469491198
"1830",152557.280948857
"1831",161382.841585535
"1832",31061.0033353277
"1833",148134.276092977
"1834",120918.543380199
"1835",124758.109962705
"1836",138328.59988853
"1837",79645.8929349696
"1838",120618.135733521
"1839",111029.674316691
"1840",151367.54203412
"1841",131603.782194793
"1842",70101.808869233
"1843",144485.701068322
"1844",143299.76429362
"1845",139778.811858548
"1846",156299.672223935
"1847",167445.021403944
"1848",42032.0430266658
"1849",101574.062224293
"1850",106907.404940524
"1851",145555.613637386
"1852",107130.469886345
"1853",117396.829022493
"1854",169396.860128984
"1855",163505.956665227
"1856",218958.13050819
"1857",126718.091109544
"1858",147161.977539656
"1859",100438.010636194
"1860",142212.027127147
"1861",108326.921837417
"1862",303296.108450869
"1863",291392.107420474
"1864",291418.779255314
"1865",368396.109880786
"1866",345382.122509837
"1867",211893.246317509
"1868",288311.323858888
"1869",206309.054783439
"1870",218725.877651651
"1871",258014.776887865
"1872",169091.084537106
"1873",238049.158629619
"1874",143004.847793231
"1875",182994.186031081
"1876",201536.911957085
"1877",208912.898234959
"1878",193676.137712919
"1879",138694.831784177
"1880",131208.49892833
"1881",245988.332920203
"1882",232326.986389882
"1883",183367.979904399
"1884",203508.883091859
"1885",226631.690088784
"1886",285946.328420847
"1887",216249.734036892
"1888",257595.215959971
"1889",164491.815060082
"1890",93112.8841673782
"1891",100194.853341224
"1892",101012.81700214
"1893",131043.171415755
"1894",118621.922579554
"1895",135198.415709209
"1896",129370.379915493
"1897",119285.825538964
"1898",100930.202011509
"1899",163756.275082971
"1900",158475.251613416
"1901",193585.817673904
"1902",181799.827456765
"1903",219423.10314071
"1904",163999.085567769
"1905",201522.230400732
"1906",174113.176269643
"1907",240034.799073175
"1908",114091.176297118
"1909",127999.228859269
"1910",128767.89588772
"1911",233521.037410373
"1912",321793.292257438
"1913",149931.654297006
"1914",45060.3619069195
"1915",349495.029598853
"1916",59690.1744931457
"1917",223338.997865924
"1918",133868.048288566
"1919",155219.808058422
"1920",164767.18733511
"1921",384238.369106621
"1922",346759.455460081
"1923",236749.821060369
"1924",228109.877851676
"1925",205735.621536734
"1926",384445.062807183
"1927",125038.168035174
"1928",174671.60804282
"1929",118498.384541092
"1930",126142.146929311
"1931",116809.819089197
"1932",125919.683895668
"1933",200564.984414125
"1934",189726.647739882
"1935",165105.716611886
"1936",212216.657769224
"1937",175888.930128404
"1938",165383.034855247
"1939",276602.773745806
"1940",203863.331879739
"1941",169028.6810469
"1942",154125.749828497
"1943",235702.933616474
"1944",380979.067362192
"1945",418412.084262925
"1946",149703.911415216
"1947",128889.576878236
"1948",181585.855653064
"1949",239025.727088298
"1950",185016.051072118
"1951",245087.375374955
"1952",201468.712763034
"1953",178507.397678267
"1954",181287.982095036
"1955",136577.928211057
"1956",287461.122364992
"1957",157537.024239034
"1958",242478.952490973
"1959",134662.30904054
"1960",92864.9135829546
"1961",124879.20578125
"1962",94303.2441826126
"1963",107356.236401977
"1964",105344.868040192
"1965",134162.333916224
"1966",141735.429843995
"1967",314563.169289313
"1968",412230.798468494
"1969",396552.04058034
"1970",401119.49041952
"1971",448971.355943602
"1972",370525.183034867
"1973",293175.614702596
"1974",340592.369378267
"1975",344849.970029457
"1976",280561.957909451
"1977",365508.837944928
"1978",344217.964169225
"1979",325046.627321908
"1980",204730.107284942
"1981",359444.609226328
"1982",215658.440319865
"1983",199648.953769561
"1984",175884.827499918
"1985",230326.555744348
"1986",206076.296118437
"1987",209258.7181506
"1988",166801.805551115
"1989",185442.758717694
"1990",204709.214522168
"1991",231364.638288474
"1992",225135.297965126
"1993",166140.109655391
"1994",234613.666335359
"1995",181856.605940079
"1996",280464.366166526
"1997",316909.962242673
"1998",323804.61252259
"1999",309398.479258875
"2000",322244.209948934
"2001",287490.612399283
"2002",245080.945452179
"2003",239222.764395307
"2004",279875.807851508
"2005",225733.404320392
"2006",222279.422351402
"2007",242137.547404856
"2008",234995.257025637
"2009",211731.514011313
"2010",195291.388630665
"2011",129133.54516215
"2012",179265.423942062
"2013",181630.32500792
"2014",187735.55205225
"2015",222025.74982746
"2016",197475.769345501
"2017",199845.798843794
"2018",100435.121296994
"2019",132704.873116748
"2020",74282.8630924221
"2021",93507.066134467
"2022",212239.586518044
"2023",141921.193411747
"2024",290840.769977253
"2025",356891.876138999
"2026",168814.829584055
"2027",154435.248742216
"2028",157159.286320533
"2029",175571.730179725
"2030",258347.741063659
"2031",230152.164055331
"2032",256532.621931992
"2033",250219.739553342
"2034",177144.377948392
"2035",239869.234194154
"2036",197243.174889522
"2037",219133.879424129
"2038",327542.805031969
"2039",227185.870585053
"2040",319178.142844263
"2041",312791.0329009
"2042",211689.587589623
"2043",182712.292515916
"2044",175635.905543047
"2045",203599.153404674
"2046",161679.838965046
"2047",138867.237486199
"2048",136388.972603613
"2049",135902.492832034
"2050",164083.715506832
"2051",96489.9317845494
"2052",111900.98219738
"2053",144766.734415023
"2054",87752.7130135725
"2055",176584.622287196
"2056",127662.873450743
"2057",91571.8685335434
"2058",209921.758067928
"2059",122511.074572958
"2060",181956.571971472
"2061",171370.646016173
"2062",124272.195128523
"2063",110229.382426994
"2064",135771.560703945
"2065",76700.254772677
"2066",171841.115765565
"2067",109351.830761848
"2068",156100.78865161
"2069",78911.4561018135
"2070",112918.901352614
"2071",94891.6261197788
"2072",144105.583584755
"2073",117466.12847686
"2074",197917.153868502
"2075",172239.792177875
"2076",119164.498185573
"2077",163899.076300365
"2078",130131.297432201
"2079",125362.601604102
"2080",121802.91156636
"2081",125638.814525092
"2082",135461.753648311
"2083",157100.058435298
"2084",105765.77223395
"2085",114742.651884927
"2086",105458.624093229
"2087",118533.74714296
"2088",103290.081613182
"2089",74686.8617875314
"2090",112873.049518635
"2091",109849.259975477
"2092",125531.460552566
"2093",149753.015558788
"2094",115256.200789143
"2095",175931.206048909
"2096",80052.6273988717
"2097",96662.8828331091
"2098",169748.277680043
"2099",33368.3336482603
"2100",54924.620701185
"2101",114686.80661107
"2102",119736.388096209
"2103",101406.004576073
"2104",123747.070153023
"2105",141731.024086747
"2106",59879.6212047467
"2107",188183.380818466
"2108",121681.229083527
"2109",117040.889189151
"2110",115015.588294092
"2111",155263.83079879
"2112",143465.479624593
"2113",121139.523946088
"2114",118939.569127487
"2115",163914.652362138
"2116",119846.489532815
"2117",149071.430167319
"2118",122705.411228095
"2119",121955.05914243
"2120",92811.6173007634
"2121",115101.503883739
"2122",120051.513358872
"2123",86040.4397050246
"2124",171826.942794817
"2125",123430.960180335
"2126",156044.81977861
"2127",173993.665608395
"2128",133666.421675278
"2129",43071.6447979644
"2130",141699.535604386
"2131",112060.797405033
"2132",115148.77549274
"2133",126977.898628822
"2134",115928.62686495
"2135",97630.4142187036
"2136",66947.7978530104
"2137",105703.062438014
"2138",128385.133109257
"2139",137598.842043325
"2140",144296.476879666
"2141",174255.060323201
"2142",129943.022305594
"2143",159473.979083267
"2144",134546.58048932
"2145",141698.556495423
"2146",191385.692861879
"2147",130428.429468732
"2148",116531.280482691
"2149",129657.751710255
"2150",233184.628897558
"2151",125269.863157681
"2152",199023.692255277
"2153",184029.230459221
"2154",108762.769330332
"2155",137893.707451969
"2156",269255.457605778
"2157",235001.667576237
"2158",241070.97276137
"2159",223709.315696905
"2160",183065.193485465
"2161",226046.414462739
"2162",380731.773982504
"2163",361622.236526825
"2164",249674.74000209
"2165",201007.159607087
"2166",157735.173935842
"2167",227400.135888685
"2168",198286.314591942
"2169",191983.935124847
"2170",218613.949690249
"2171",154746.660787121
"2172",133769.188823135
"2173",191172.903548909
"2174",221454.040096267
"2175",266818.834569076
"2176",308833.560917045
"2177",240083.935731837
"2178",206970.60415751
"2179",128509.204396529
"2180",228790.906595669
"2181",192048.907302636
"2182",221921.154962638
"2183",188867.020454758
"2184",119609.119943756
"2185",110372.96374871
"2186",160313.472129738
"2187",138889.409651801
"2188",152454.079776028
"2189",308017.044610959
"2190",90633.8200310853
"2191",62176.9410834051
"2192",78048.8715138132
"2193",134237.869803488
"2194",96553.8168888296
"2195",94991.2696616378
"2196",108884.904092299
"2197",114935.750653548
"2198",164420.497948582
"2199",174232.707876559
"2200",155159.308610002
"2201",156814.8657698
"2202",193168.736092517
"2203",140217.219741983
"2204",198277.47245191
"2205",136162.551206139
"2206",159021.63235017
"2207",222340.198250307
"2208",261168.909927098
"2209",273285.378312603
"2210",125434.655811816
"2211",123298.812104777
"2212",127069.167572142
"2213",108014.840400334
"2214",140008.285745021
"2215",102769.017943749
"2216",166743.785556708
"2217",113085.333857052
"2218",61421.5729358833
"2219",36014.8197649814
"2220",11289.6983799596
"2221",350142.477767391
"2222",305528.621234786
"2223",281592.570173286
"2224",202361.366683248
"2225",119304.026234781
"2226",186871.779643898
"2227",188796.781386283
"2228",282106.768433323
"2229",248026.877289349
"2230",157839.455148446
"2231",216213.38183299
"2232",181984.534239348
"2233",183193.52871146
"2234",242477.441142041
"2235",229728.886747775
"2236",248295.908135717
"2237",307257.669482173
"2238",189312.547965111
"2239",123802.453741364
"2240",150619.086734716
"2241",134875.910896713
"2242",125203.220628669
"2243",120094.712532831
"2244",100810.452569611
"2245",121730.989947444
"2246",136103.947361304
"2247",131146.219502521
"2248",125452.09632914
"2249",113473.555454767
"2250",125975.337348103
"2251",98636.0641998058
"2252",197105.93642187
"2253",158123.466125857
"2254",177409.107139052
"2255",188198.411819223
"2256",167610.395847008
"2257",216717.905204049
"2258",148205.560753737
"2259",174825.73114664
"2260",125580.938392563
"2261",219513.580466888
"2262",239930.403516872
"2263",384905.531282666
"2264",477368.809435663
"2265",147882.054942689
"2266",326395.422087743
"2267",397877.406847744
"2268",485330.521619704
"2269",146951.731613674
"2270",181657.662762737
"2271",213668.935225886
"2272",181988.247889923
"2273",149434.465789639
"2274",183286.444857554
"2275",163232.366858476
"2276",199582.312923337
"2277",182430.309081825
"2278",152050.972906085
"2279",133975.778996162
"2280",104501.098652641
"2281",141357.153900206
"2282",159974.32603154
"2283",112818.557148243
"2284",123632.526187613
"2285",152493.43874977
"2286",121082.22501898
"2287",391402.926101292
"2288",293935.167819272
"2289",352196.742316192
"2290",445090.259528237
"2291",352729.131716287
"2292",426596.752176331
"2293",467533.573165241
"2294",389235.495610818
"2295",470761.341441621
"2296",282943.253736071
"2297",387055.822622363
"2298",376128.985359625
"2299",350391.633256955
"2300",332230.54012415
"2301",334399.684050556
"2302",263535.931462936
"2303",249110.371795613
"2304",260157.773406938
"2305",213391.726421824
"2306",202896.718595949
"2307",205025.427378297
"2308",228390.843040693
"2309",305988.045169098
"2310",212460.478652237
"2311",210942.748915522
"2312",187813.216794142
"2313",167284.540107333
"2314",187036.100227376
"2315",181784.611463426
"2316",198444.059509138
"2317",201302.865649811
"2318",186489.882075706
"2319",189696.210430412
"2320",185039.914117535
"2321",236916.627155361
"2322",200351.213718949
"2323",201549.574191397
"2324",173612.052894953
"2325",211888.12832603
"2326",170545.705104971
"2327",196086.092801641
"2328",216953.767817778
"2329",190248.20578499
"2330",181846.668496064
"2331",341907.539415229
"2332",392003.40558905
"2333",324937.071739483
"2334",276810.886861202
"2335",296209.479467212
"2336",322120.559170184
"2337",199578.000860183
"2338",253149.619832165
"2339",211123.04756859
"2340",399418.96132231
"2341",205648.066694898
"2342",227495.778373734
"2343",223630.95254798
"2344",216529.165662933
"2345",223516.582472341
"2346",216092.497750916
"2347",207916.40489677
"2348",251287.702227036
"2349",204883.127918403
"2350",315102.260475214
"2351",288693.926524987
"2352",245034.89006394
"2353",254775.713021187
"2354",168420.461132217
"2355",154937.005102948
"2356",143252.99798965
"2357",193123.919684844
"2358",195951.619576978
"2359",127580.939323815
"2360",109967.779504921
"2361",157038.426054323
"2362",264099.228592664
"2363",131481.919508316
"2364",147880.499729746
"2365",202136.576249425
"2366",188585.419104459
"2367",214861.509770126
"2368",220039.126517898
"2369",212812.825633564
"2370",169374.008114926
"2371",164919.460887126
"2372",194361.130261542
"2373",288533.97422342
"2374",309917.078300685
"2375",243917.523561945
"2376",290198.471418054
"2377",343635.451149704
"2378",152173.110298271
"2379",229522.740394668
"2380",147632.384707911
"2381",171592.920743323
"2382",202039.104254853
"2383",193220.606543735
"2384",233573.480364642
"2385",151919.86940987
"2386",133618.244358501
"2387",124175.749857823
"2388",101535.292899174
"2389",104616.611030223
"2390",150243.155193048
"2391",137130.076961876
"2392",116380.925037465
"2393",174637.291613468
"2394",140829.605017389
"2395",211101.099630249
"2396",131916.435806854
"2397",215505.305595272
"2398",125749.544490409
"2399",77203.3300819056
"2400",64796.9437146826
"2401",151300.750109669
"2402",133577.344522804
"2403",148629.927766215
"2404",150394.839390967
"2405",150060.278073848
"2406",141844.64171536
"2407",127465.944647161
"2408",122314.221793558
"2409",105710.756002912
"2410",184738.354401055
"2411",112167.992817622
"2412",158573.041836428
"2413",120578.385891498
"2414",172377.9300837
"2415",135244.324270905
"2416",130688.630931386
"2417",143228.5627092
"2418",139080.702273801
"2419",125577.666169475
"2420",123042.647145402
"2421",376236.219017771
"2422",103975.993771137
"2423",117441.958032017
"2424",126236.535720672
"2425",217371.710885504
"2426",133794.886585005
"2427",134890.580342663
"2428",190461.290411266
"2429",96161.4458749681
"2430",128319.045418391
"2431",94768.2273914736
"2432",152804.106278745
"2433",151962.883722609
"2434",142934.475499485
"2435",170304.697770607
"2436",111070.622936745
"2437",95625.3733516916
"2438",113595.066574088
"2439",86940.914662562
"2440",128591.513620222
"2441",94576.6042863737
"2442",91207.9364703902
"2443",143237.561455185
"2444",128404.913774408
"2445",75401.0834580779
"2446",133984.35088865
"2447",186431.199526924
"2448",130854.744533094
"2449",110641.047577516
"2450",160408.843675916
"2451",108849.192850503
"2452",202997.410731813
"2453",94519.8848471734
"2454",113049.087102318
"2455",108865.263302618
"2456",167930.41861614
"2457",151704.800147603
"2458",140309.889158384
"2459",119017.539235906
"2460",140145.856431107
"2461",128772.503526903
"2462",126099.653794661
"2463",128273.062151546
"2464",197368.684358397
"2465",138097.335361042
"2466",114347.51877173
"2467",105515.587402523
"2468",89479.5131377401
"2469",91876.3540813662
"2470",215154.592727048
"2471",229148.550563972
"2472",183834.8475121
"2473",131594.70890461
"2474",78419.4817624039
"2475",214936.57912668
"2476",114064.982805229
"2477",116608.248134093
"2478",155262.997568542
"2479",99595.9129087796
"2480",162875.032271932
"2481",126535.028517032
"2482",100505.042535947
"2483",100745.568825015
"2484",124303.916349027
"2485",128593.148180409
"2486",165983.607102374
"2487",184716.535532683
"2488",166718.050289699
"2489",155348.84352692
"2490",139214.980284856
"2491",84787.9297011056
"2492",179868.013604954
"2493",143364.237791138
"2494",141216.056031872
"2495",66758.2387354897
"2496",220104.699440022
"2497",164374.768039283
"2498",112990.391697202
"2499",79949.1348147505
"2500",120815.000923231
"2501",141686.135896365
"2502",147547.808072245
"2503",107804.499042537
"2504",493548.253440763
"2505",229815.145343473
"2506",249826.665964492
"2507",277289.145742268
"2508",246009.441856559
"2509",209434.478183522
"2510",203928.425105451
"2511",174296.038480407
"2512",215944.201691788
"2513",211377.282994484
"2514",326536.583673877
"2515",162433.892735801
"2516",170076.380465071
"2517",153520.517768005
"2518",138596.79282877
"2519",246104.86883118
"2520",220796.231074486
"2521",186151.151920676
"2522",219372.211913769
"2523",114562.120396086
"2524",133509.197018232
"2525",153898.915102243
"2526",159078.597075777
"2527",118484.457513608
"2528",154019.43192257
"2529",41068.825652772
"2530",124494.301643365
"2531",265995.022282094
"2532",219255.924861833
"2533",197173.286519996
"2534",245510.740327049
"2535",278757.905370609
"2536",232685.756935597
"2537",257030.032618118
"2538",187369.733661631
"2539",184777.074622982
"2540",184583.753910029
"2541",172025.335825966
"2542",162307.754804475
"2543",103378.217150508
"2544",119011.562432998
"2545",127629.512444985
"2546",118652.204785834
"2547",141831.309322743
"2548",161839.062362594
"2549",153273.538030854
"2550",712158.380579433
"2551",137989.453747831
"2552",143301.776677607
"2553",74170.4760425558
"2554",82212.288863499
"2555",105637.360150817
"2556",90182.4120400687
"2557",99390.5661644905
"2558",177633.639207721
"2559",160794.153214801
"2560",164698.557583426
"2561",153390.157813411
"2562",165493.034497037
"2563",164360.400533627
"2564",187069.977859262
"2565",163535.419258507
"2566",175194.883038046
"2567",147742.737610232
"2568",227743.399180894
"2569",239977.129602047
"2570",121653.186822449
"2571",206145.049309835
"2572",176617.823547258
"2573",234559.691310341
"2574",172639.98463647
"2575",141755.550615809
"2576",196750.991088906
"2577",159359.064804987
"2578",66561.0269463413
"2579",37347.6848025023
"2580",96810.6252218975
"2581",122030.79215447
"2582",120869.76281096
"2583",288612.310963682
"2584",175008.516737256
"2585",178307.725780374
"2586",215940.91347959
"2587",202386.688642221
"2588",144890.491843514
"2589",147451.270525364
"2590",198800.622432608
"2591",224696.256752751
"2592",219469.735303694
"2593",250852.339970275
"2594",175658.192705905
"2595",210571.187369995
"2596",284853.244668494
"2597",197471.689442522
"2598",277308.181403827
"2599",401861.459972236
"2600",519644.802639216
"2601",123961.03959315
"2602",72299.6749529542
"2603",91296.0961282939
"2604",90005.4135540024
"2605",69385.0494743498
"2606",132531.941791156
"2607",206039.250322095
"2608",177304.085242371
"2609",146956.515878442
"2610",109268.073831783
"2611",233377.951325871
"2612",153029.5872725
"2613",119911.732910846
"2614",108648.868995803
"2615",158164.888075166
"2616",147381.027090052
"2617",211503.804218938
"2618",200897.089797798
"2619",207681.27188115
"2620",192391.531089169
"2621",177986.846478228
"2622",180902.297579804
"2623",232924.580714066
"2624",285435.278405973
"2625",304780.217734568
"2626",170774.529264364
"2627",185717.355183768
"2628",476445.122595078
"2629",502659.306521658
"2630",385567.67846793
"2631",471256.073987303
"2632",419471.575015538
"2633",320321.926991586
"2634",435442.514366071
"2635",137807.725673591
"2636",163249.516010212
"2637",191445.972416477
"2638",266735.367752057
"2639",188023.431930761
"2640",152638.645929756
"2641",95447.7735591707
"2642",167508.297026051
"2643",108544.406114243
"2644",103554.476811343
"2645",108721.171809513
"2646",93125.2902056571
"2647",99323.1422563581
"2648",153016.559540843
"2649",144645.370011315
"2650",135211.77826079
"2651",133351.305655614
"2652",388712.285718628
"2653",259651.787113903
"2654",280790.708875753
"2655",422062.185962087
"2656",328996.685703321
"2657",373370.171785274
"2658",333595.038800121
"2659",326212.24426373
"2660",362142.49209836
"2661",374899.111849573
"2662",392699.908721761
"2663",278277.628614448
"2664",297946.519598696
"2665",335748.665961366
"2666",298062.267636579
"2667",181333.528652967
"2668",188096.024586839
"2669",190640.696270354
"2670",269828.352642151
"2671",189824.518061893
"2672",194699.354101479
"2673",200258.496151461
"2674",195362.11897224
"2675",189939.890510399
"2676",186380.530186494
"2677",206021.237027112
"2678",234787.869699538
"2679",280348.28286386
"2680",292659.089217442
"2681",410788.395580289
"2682",313518.270429013
"2683",486506.864272217
"2684",318924.383235607
"2685",336720.60472895
"2686",250787.883571625
"2687",300934.474935531
"2688",214262.821224115
"2689",214248.321987369
"2690",386075.146843949
"2691",200755.394445798
"2692",162893.668028395
"2693",210953.444277219
"2694",142909.229162376
"2695",200875.388495642
"2696",185232.5499282
"2697",189910.684217597
"2698",217437.78441239
"2699",165492.415557113
"2700",140488.550126396
"2701",128360.521127473
"2702",84260.8997614871
"2703",109597.655674718
"2704",145626.485147935
"2705",103937.883914293
"2706",76951.0962662912
"2707",92601.6784054666
"2708",142223.059016571
"2709",117232.287611981
"2710",136551.920986887
"2711",429276.736363512
"2712",413563.906316697
"2713",161293.500897646
"2714",141359.44942658
"2715",177224.337481857
"2716",128302.079124547
"2717",181983.466786863
"2718",211683.428814493
"2719",153050.586656851
"2720",174170.897795267
"2721",124621.649637648
"2722",160290.851598639
"2723",132446.25347246
